count_point_id,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
997191,2,"East Midlands",153,Leicester,U,Minor,,,459906,301438,52.60743088,-1.11680452,,
997180,2,"East Midlands",153,Leicester,U,Minor,,,458360,306675,52.65467272,-1.13870782,,
997172,2,"East Midlands",153,Leicester,U,Minor,,,457323,303307,52.62450904,-1.15461949,,
966854,2,"East Midlands",153,Leicester,C,Minor,,,456900,302800,52.61999613,-1.16095473,,
966604,2,"East Midlands",153,Leicester,U,Minor,,,459668,300495,52.59898067,-1.12048837,,
966602,2,"East Midlands",153,Leicester,U,Minor,,,457875,306412,52.65236056,-1.14592269,,
966600,2,"East Midlands",153,Leicester,U,Minor,,,456500,307470,52.66201532,-1.16606477,,
951921,2,"East Midlands",153,Leicester,C,Minor,,,456045,304832,52.63835010,-1.17323856,,
951437,2,"East Midlands",153,Leicester,U,Minor,,,462445,304230,52.63224163,-1.07878983,,
951435,2,"East Midlands",153,Leicester,U,Minor,,,459193,306092,52.64934223,-1.12649966,,
951434,2,"East Midlands",153,Leicester,U,Minor,,,458799,305028,52.63981900,-1.13251190,,
951433,2,"East Midlands",153,Leicester,U,Minor,,,456744,304336,52.63381800,-1.16299550,,
951432,2,"East Midlands",153,Leicester,U,Minor,,,461290,304675,52.63637100,-1.09577060,,
951431,2,"East Midlands",153,Leicester,U,Minor,,,463300,306570,52.65317400,-1.06571080,,
951430,2,"East Midlands",153,Leicester,B5366,Minor,,,458514,302124,52.61374700,-1.13723640,,
942238,2,"East Midlands",153,Leicester,C,Minor,,,456635,297327,52.57082793,-1.16580329,,
940269,2,"East Midlands",153,Leicester,U,Minor,,,457270,305937,52.64815501,-1.15494707,,
940268,2,"East Midlands",153,Leicester,U,Minor,,,458200,299550,52.59064400,-1.14232530,,
940267,2,"East Midlands",153,Leicester,U,Minor,,,456319,304302,52.63355774,-1.16928025,,
940266,2,"East Midlands",153,Leicester,U,Minor,,,457512,306324,52.65160809,-1.15130325,,
940264,2,"East Midlands",153,Leicester,U,Minor,,,461175,303061,52.62187829,-1.09776799,,
940263,2,"East Midlands",153,Leicester,U,Minor,,,459273,305077,52.64021003,-1.12549928,,
940262,2,"East Midlands",153,Leicester,U,Minor,,,456604,308726,52.67329300,-1.16431200,,
940261,2,"East Midlands",153,Leicester,U,Minor,,,461184,302481,52.61666388,-1.09774224,,
940259,2,"East Midlands",153,Leicester,U,Minor,,,458423,303927,52.62996502,-1.13826208,,
940258,2,"East Midlands",153,Leicester,U,Minor,,,461917,304479,52.63454017,-1.08654351,,
940257,2,"East Midlands",153,Leicester,U,Minor,,,464084,303710,52.62737500,-1.05467740,,
940256,2,"East Midlands",153,Leicester,U,Minor,,,461020,307276,52.65978100,-1.09927960,,
940253,2,"East Midlands",153,Leicester,U,Minor,,,457456,307742,52.66435800,-1.15188440,,
940252,2,"East Midlands",153,Leicester,U,Minor,,,456921,299972,52.59457362,-1.16113031,,
940251,2,"East Midlands",153,Leicester,U,Minor,,,461820,307026,52.65744300,-1.08750040,,
940250,2,"East Midlands",153,Leicester,U,Minor,,,456802,307139,52.65900857,-1.16165703,,
940249,2,"East Midlands",153,Leicester,U,Minor,,,461693,305267,52.64164700,-1.08970600,,
